Year,Voivodship,Urban buses,Lorries,Road tractors,Total
2022_1,Poland,5.595015302,55.66867528,215.9911551,277.2548457
2022_2,Poland,5.627925428,56.75216851,218.187098,280.567192
2022_3,Poland,5.671145024,57.78986787,220.6793081,284.140321
2022_4,Poland,5.711690129,58.68134003,225.1079397,289.5009698
2021_1,Poland,5.448792475,50.83810976,199.0779737,255.3648759
2021_2,Poland,5.391519979,51.93432774,205.0894963,262.415344
2021_3,Poland,5.475630001,53.38668083,210.670366,269.5326769
2021_4,Poland,5.471920133,54.49329079,213.5706902,273.5359011
2020_1,Poland,6.714598245,54.50761249,228.5294855,289.7516963
2020_2,Poland,6.714598245,56.12664213,227.5227634,290.3640038
2020_3,Poland,6.714598245,57.51393174,231.514444,295.742974
2020_4,Poland,6.714598245,58.62203742,237.9028323,303.239468
2019_1,Poland,5.659185199,48.36582313,193.5595807,247.5845891
2019_2,Poland,5.659185199,50.46130801,198.0580503,254.1785435
2019_3,Poland,5.659185199,44.37354001,177.1468609,227.1795861
2019_4,Poland,5.659185199,50.20138534,196.1455054,252.006076
