Year,Voivodship,Urban buses,Lorries,Road tractors,Total
2019_1,Poland,15.68660698,249.1828946,294.5278234,559.397325
2019_2,Poland,15.68660698,252.1546646,295.4872901,563.3285616
2019_3,Poland,15.68660698,225.9229086,265.5418738,507.1513894
2019_4,Poland,15.68660698,238.1071532,282.366941,536.1607011
2020_1,Poland,15.40236924,223.0112892,300.2906633,538.7043217
2020_2,Poland,15.40236924,223.6701531,296.7800295,535.8525519
2020_3,Poland,15.40236924,224.4639518,298.6782927,538.5446137
2020_4,Poland,15.40236924,223.5245047,302.4772592,541.4041331
2021_1,Poland,13.03445196,198.9076427,255.2620263,467.204121
2021_2,Poland,12.71493143,198.5270468,259.5944158,470.836394
2021_3,Poland,12.70037506,196.1415713,263.7634032,472.6053496
2021_4,Poland,12.4997046,195.9150169,264.4295012,472.8442228
2022_1,Poland,12.50044423,196.3082096,265.2045742,474.013228
2022_2,Poland,12.34018079,196.8357231,265.9467799,475.1226838
2022_3,Poland,12.27183524,192.6679862,266.9344683,471.8742898
2022_4,Poland,12.16379436,192.625829,270.0206651,474.8102884
