Year,Miesiąc,Coaches with >9 seats (driver seat included) of any maximum permissible weight,"Heavy duty vehicles with a maximum permissible weight 3,5 tonnes and <12 tonnes","Heavy duty vehicles with a trailer with a maximum permissible weight >3,5 tonnes and <12 tonnes",Heavy duty vehicles with a maximum permissible weight >12 tonnes
2019,Styczeń,22519,55324,15764,374838
2019,Luty,22344,58469,16014,379458
2019,Marzec,25357,67056,16777,395869
2019,Kwieceń,26402,69816,16805,396816
2019,Maj,30467,72347,16928,397531
2019,Czerwiec,30551,72738,16637,393489
2019,Lipec,26333,74546,16755,397288
2019,Sierpień,27030,73413,16371,389446
2019,Wrzesień,28647,72021,16657,393679
2019,Październik,28116,71764,16754,401208
2019,Listopad,25017,66494,16191,393654
2019,Grudzień,25085,62152,15624,385587
2020,Styczeń,22900,59558,15458,385613
2020,Luty,22576,61851,15632,389088
2020,Marzec,18122,59174,15734,394272
2020,Kwieceń,7538,50134,14648,366717
2020,Maj,8951,62229,15599,378619
2020,Czerwiec,13445,70712,16094,390021
2020,Lipec,16980,76872,16259,397164
2020,Sierpień,18802,75281,15821,393248
2020,Wrzesień,19803,73739,16331,404241
2020,Październik,18334,72678,16187,412116
2020,Listopad,14034,66214,15639,405826
2020,Grudzień,13617,64927,15407,406357
2021,Styczeń,13232,57550,14703,397282
2021,Luty,13942,59418,14864,403042
2021,Marzec,14262,71108,15999,427119
2021,Kwieceń,13014,72661,15757,424491
2021,Maj,17299,79118,16122,426552
2021,Czerwiec,21337,81530,16111,429356
2021,Lipec,20125,82544,15831,427180
2021,Sierpień,21055,80933,15473,420380
2021,Wrzesień,22570,76574,15555,423409
2021,Październik,20403,20848,19121,395391
2021,Listopad,18257,21490,19456,403731
2021,Grudzień,17426,21155,19020,403117
2022,Styczeń,15912,20307,18480,397443
2022,Luty,16490,21093,19028,404177
2022,Marzec,19585,21789,19935,414677
2022,Kwieceń,19715,21799,19840,406066
2022,Maj,22234,22553,20225,403249
2022,Czerwiec,23803,22914,20351,407855
2022,Lipec,21052,22497,19857,406547
2022,Sierpień,20828,22358,19740,408219
2022,Wrzesień,22585,22501,20163,415265
2022,Październik,22828,22494,19847,420596
2022,Listopad,20394,21777,19489,419405
2022,Grudzień,19864,20259,17828,367262
2023,Styczeń,17634,19557,17260,360582
2023,Luty,17843,19426,17191,359901
2023,Marzec,19835,20809,18108,376029
2023,Kwieceń,20929,20983,17922,365693
2023,Maj,22850,21603,18307,369812
2023,Czerwiec,23770,21993,18444,373826
2023,Lipec,20850,21895,17952,368903
2023,Sierpień,20828,21916,17944,370194
2023,Wrzesień,23225,22147,18215,374079
2023,Październik,23073,21951,18007,380342
2023,Listopad,20570,21235,17560,377965
2023,Grudzień,20903,20370,16585,365593
