Year,Voivodship,Urban buses,Lorries,Road tractors,Total
2019_1,Poland,564.5206478,8289.422693,7570.711237,16424.65458
2019_2,Poland,564.5206478,8328.857631,7377.342837,16270.72111
2019_3,Poland,564.5206478,7524.951079,6710.103971,14799.5757
2019_4,Poland,564.5206478,7827.926259,6700.353568,15092.80048
2020_1,Poland,496.388067,6945.386928,5942.499276,13384.27427
2020_2,Poland,496.388067,6913.908755,5774.993706,13185.29053
2020_3,Poland,496.388067,6902.722761,5632.415849,13031.52668
2020_4,Poland,496.388067,6831.291003,5464.632421,12792.31149
2021_1,Poland,437.0731159,6219.667826,4773.68468,11430.42562
2021_2,Poland,428.0901417,6166.784978,4637.940208,11232.81533
2021_3,Poland,422.1151646,6030.401123,4518.028668,10970.54496
2021_4,Poland,413.3110451,5972.05618,4344.490726,10729.85795
2022_1,Poland,413.5780179,5940.22347,4211.570553,10565.37204
2022_2,Poland,403.1804492,5915.991481,4083.301336,10402.47327
2022_3,Poland,398.2212109,5712.207197,3947.948089,10058.3765
2022_4,Poland,391.283425,5664.483443,3802.695248,9858.462116
